"","SMILES","E","HOMO-LUMO gap"
"92","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O",274.405,4.4199924
"93","C(CC(=O)O)C(=O)CC(=O)O",97.618,5.806614
"95","C(C(C(C(=O)C(C(=O)O)O)O)O)O",120.305,5.6316537
"96","CC(=O)CC(=O)O",66.919,5.7236235
"97","C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O",233.283,5.7622617
"98","C(C(=O)C(=O)O)S",49.92,4.4199924
"101","C1=CC(=CC(=C1)O)C=O",76.38,4.7179419
"102","C1=CC(=CC(=C1)O)CO",91.573,5.8724622
"104","C1C=C(OC1=O)CC(=O)O",79.405,6.0757209
"105","C(C(=O)C(=O)O)OP(=O)(O)O",71.493,4.6931808
"106","C(C(C(=O)O)N)OP(=O)(O)O",95.156,7.3110549
"107","C1=CC=C(C=C1)CCC(=O)O",114.667,6.3442836
"108","C1=CC(=CN=C1)CC(=O)O",88.18,5.9483781
"109","C(C(C(=O)O)N)S(=O)O",80.647,6.3924453
"110","C(C(=O)C(=O)O)S(=O)O",57.184,4.2099312
"111","C(CNC(=O)N)C(=O)O",91.816,7.2748656
"112","C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O",85.999,4.7666478
"113","C(C(C(=O)C(=O)O)O)OP(=O)(O)O",93.724,4.7960346
"114","C1=CC(=CN=C1)CCCC(=O)O",125.94,6.2177571
"116","C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O",139.756,4.6646103
"117","C1=NC(=C(N1)C(=O)O)N",70.071,5.9293311
"118","C(CC=O)CN",86.694,6.1301409
"119","C(CC(=O)O)CN",92,7.3798962
"120","C1=CC(=O)OC1=CC(=O)O",64.623,4.3421718
"122","C(C(=O)CC(=O)O)C(=O)C=CC(=O)O",107.925,4.0967376
"123","C(CC(=O)N)CN=C(N)N",126.529,6.9831744
"124","CC(CC(=O)C(=O)O)O",90.262,4.8493662
"125","C1=CC(=CC=C1CO)O",91.564,5.8411707
"126","C1=CC(=CC=C1C=O)O",76.413,5.0406525
"127","C1=CC(=CC=C1CC(=O)O)O",98.971,5.6719245
"128","C1=NC(C(=O)N1)CCC(=O)O",99.054,6.2683677
"129","CC(C)CCC=O",112.458,6.3573444
"130","C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O",112.011,5.014803
"131","CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O",199.593,6.2678235
"132","CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O",256.997,6.451491
"133","C[N+](C)(C)CCCC=O",152.334,6.3685005
"134","C[N+](C)(C)CCCC(=O)O",156.442,7.6928112
"135","C1=CC(=CC=C1C(=O)O)O",80.284,5.4912501
"136","C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O",292.205,3.9881697
"137","C(CC(=O)O)C(=O)CN",98.598,5.4656727
"138","C(CCN)CC(=O)O",109.997,6.7211421
"139","CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C",472.754,8.119464
"140","CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO",476.707,8.1844959
"142","CC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O",164.448,5.4156063
"143","C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O",301.933,4.650189
"144","C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N",149.2,5.0613321
"145","C(C(C(C(=O)O)O)O)C(=O)C(=O)O",104.965,5.047455
"149","CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O",185.262,5.431116
"150","C(C1C(C(C(O1)N)O)O)OP(=O)(O)O",136.587,7.1646651
"151","C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O",180.607,6.9456246
"152","C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O",174.269,7.0623555
"153","C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N",170.578,6.1538136
"154","C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O",189.497,6.2700003
"155","C1=NC(=C(N1)C(=O)O)NC(=O)N",87.932,5.0705835
"157","C(C(=O)C(C(C(C(=O)O)O)O)O)O",119.534,6.1649697
"158","CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O",329.969,5.9666088
"159","CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O",331.254,6.0272871
"160","CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O",345.249,6.4591098
"162","CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C",138.044,5.8613061
"164","C(CC(=C[N+]#N)[O-])C(C(=O)O)N",109.691,4.6790316
"165","C(CC(=C[N+]#N)O)C(C(=O)O)N",116.914,4.6346793
"166","CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N",160.388,3.2785329
"167","C1CN=C2C(=N1)C=NC=N2",80.86,3.2132289
"168","C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O",267.492,7.4860152
"169","CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O",325.627,4.1699325
"170","C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)O",191.964,4.5280161
"171","C1=C(C2=C(N1)NC(=NC2=O)N)CN",116.225,5.3905731
"172","CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C",434.586,4.8572571
"173","CC(C(=O)CCCCCC(=O)O)N",172.787,5.8656597
"174","C(CO)O",56.835,8.7450219
"175","CC(=O)[O-]",33.093,7.4754033
"176","CC(=O)O",41.603,7.6685943
"177","CC=O",37.48,6.350814
"178","CC(=O)N",48.285,7.5586659
"179","CC(C(=O)C)O",78.595,6.364419
"180","CC(=O)C",55.588,6.3004755
"184","CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)O)N)CO)O)O",241.427,6.8795043
"185","CC(=O)NC(CCC(=O)O)C(=O)O",127.814,6.4547562
"186","CC(=O)OP(=O)(O)O",60.268,7.368468
"187","CC(=O)OCC[N+](C)(C)C",156.072,7.632405
"188","CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O",274.396,6.2612931
"189","CC(=O)OCC(C(=O)O)N",102.381,6.7619571
"190","C1=NC2=C(N1)C(=NC=N2)N",74.91,5.4977805
"191","C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O",168.331,5.4349254
"193","C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CSCCC(C(=O)O)N)O)O",246.226,5.3979198
"195","C1=NC2=C(C(=N1)NC(CC(=O)O)C(=O)O)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O",246.556,5.1954774
"196","C(CCC(=O)O)CC(=O)O",109.343,7.6090044
"197","C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O",205.287,5.4055386
"199","C(CCN=C(N)N)CN",137.576,7.3241157
"200","C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N",190.344,5.8082466
"203","C(C(=O)O)(NC(=O)N)NC(=O)N",103.156,7.2449346
"204","C1(C(=O)NC(=O)N1)NC(=O)N",85.059,6.6999183
"205","CC(C(C(=O)O)N)O",94.709,7.2481998
"206","C(C1C(C(C(C(O1)O)O)O)O)O",132.204,8.2625886
"207","C(CC=O)CC(C(=O)O)N",117.167,6.0882375
"208","C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O",150.194,7.3913244
"211","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O",208.486,5.5815873
"212","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O",227.657,5.5921992
"213","CCCCCC(C=CC1C(C2CC(O2)O1)CC=CCCCC(=O)O)O",329.278,6.603867
"214","CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O",345.786,5.9353173
"215","CC(=O)CN",68.194,6.1034751
"216","CC1=NC=C(C(=N1)N)COP(=O)(O)O",121.67,5.5456701
"217","CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O",139.992,5.5500237
"218","C1C(=NC2=C(N1)NC(=NC2=O)N)CO",118.997,4.729098
"219","CC(=O)C(C(=O)O)N",79.333,5.6866179
"220","CCOP(=S)(OCC)OC1=CC=C(C=C1)N",173.869,5.3217318
"221","C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N",189.581,5.5135623
"222","N",23.461,9.00651
"223","[NH4+]",33.07,16.7502039
"224","C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O",186.841,5.412069
"225","CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O",304.167,5.9203518
"227","C1=CC=C(C(=C1)C(=O)O)N",88.441,4.557675
"229","C1C(C(C(C(O1)O)O)O)O",109.808,8.5319676
"230","C(C(C(C(C=O)O)O)O)OP(=O)(O)O",126.445,5.7698805
"231","CCCCCC=CCC=CCC=CCC=CCCCC(=O)O",319.223,5.907291
"232","C(CC(C(=O)O)N)CN=C(N)N",148.737,6.6242745
"233","O[As](=O)([O-])[O-]",17.586,6.9475293
"236","C(C(C(=O)O)N)C(=O)N",91.603,6.5807385
"237","CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC",329.116,3.4309089
"239","C(CN)C(=O)O",72.903,7.4590773
"240","C1=CC=C(C=C1)C=O",73.114,5.2308504
"241","C1=CC=CC=C1",65.969,6.7992348
"242","C1=CC=C(C=C1)C(=O)[O-]",68.437,4.4289717
"243","C1=CC=C(C=C1)C(=O)O",77.013,5.8289262
"244","C1=CC=C(C=C1)CO",88.31,6.4767963
"245","CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O",282.015,7.2155478
"247","C[N+](C)(C)CC(=O)[O-]",109.824,5.9842953
"248","C[N+](C)(C)CC(=O)O",118.346,7.651452
"249","C[N+](C)(C)CC=O",114.442,6.3565281
"252","CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O",160.111,4.500534
"253","C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2",177.088,6.5954319
"254","C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O",126.457,4.8986163
"255","C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]",148.131,4.9511316
"258","CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N",307.479,4.3745517
"260","Br",5.213,8.0364735
"261","CCCC=O",75.138,6.3570723
"262","CC(C(C)O)O",93.633,8.6737317
"263","CCCCO",90.761,9.1784772
"264","CCCC(=O)O",79.285,7.6930833
"266","CCCC(=O)OP(=O)(O)O",98.108,7.3284693
"273","C(CCN)CCN",129.642,8.4957783
"275","C(CON=C(N)N)C(C(=O)O)N",133.225,6.0501435
"276","C(=O)(N)[O-]",25.713,7.1673861
"277","C(=O)(N)O",33.956,8.2405485
"278","C(=O)(N)OP(=O)(O)O",53.366,8.5545519
"279","C(C(C(=O)O)NC(=O)N)C(=O)O",102.736,6.9605901
"281","[C-]#[O+]",4.639,9.5145207
"282","C1=CC(C(C(=C1)CCC(=O)O)O)O",136.016,4.9462338
"284","C(=O)O",23.073,7.8223308
"285","C(C(=O)[O-])ON",48.078,5.7698805
"286","C(C(=O)O)ON",57.2,7.2443904
"287","C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O",200.07,4.3435323
"288","C[N+](C)(C)CC(CC(=O)[O-])O",151.602,5.3886684
"289","C1=CC=C(C(=C1)O)O",72.537,5.841987
"290","C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O",195.814,5.3274459
"293","C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O",246.066,5.4343812
"294","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O",248.782,8.2171479
"295","C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O",173.405,5.6610405
"296","CC(C=O)C(=O)O",67.18,5.5840362
"297","C",30.176,13.7949258
"298","C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]",160.122,4.8822903
"299","C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl",60.936,5.4327486
"300","C(C(=O)O)Cl",36.81,7.6158069
"301","C1=CC(=C(C=C1O)Cl)O",67.206,5.2847262
"303","CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C",409.113,7.3706448
"304","CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C",449.58,6.9034491
"305","C[N+](C)(C)CCO",130.154,8.6723712
"306","C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O",131.723,4.5111459
"307","C1=CC=C(C=C1)C=CC=O",95.576,4.4899221
"308","C1=CC=C(C=C1)C=CCO",110.774,5.0670462
"309","C(C(=CC(=O)O)C(=O)O)C(=O)O",87.009,4.7138604
"310","C(=CC(=O)O)C=CC(=O)O",79.019,4.5179484
"311","C(C(=O)O)C(CC(=O)O)(C(=O)O)O",105.254,6.6509403
"313","Cl",5.67,9.2933034
"314","C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O",178.65,5.420232
"320","C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O",194.429,5.4724752
"322","C1=CC(=CC=C1C=CC(=O)O)O",102.723,4.3745517
"323","C1=CC=C2C(=C1)C=CC(=O)O2",84.96,4.6186254
"325","CC(C)C1=CC=C(C=C1)CO",144.307,6.2778912
"326","CC(C)C1=CC=C(C=C1)C=O",129.083,5.2414623
"327","C1=C(NC2=C1C(=O)C(=C3C2=C(C=C(N3)C(=O)O)C(=O)O)O)C(=O)O",149.131,2.1242847
"328","C1=CC(=CC=C1C(C(=O)O)O)O",102.552,5.8602177
"329","CSCC(C(C(=O)COP(=O)(O)O)O)O",144.063,4.990314
"330","CC(C)CCCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C",450.356,6.7333866
"331","CC(CC(CC(=O)O)N)N",139.499,6.2460555
"332","COC1=C(C=CC(=C1)C=C)O",113.795,4.7666478
"333","C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N",208.872,5.0545296
"334","CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C",438.328,5.0134425
"335","CC1=CC=CC=C1O",87.746,6.0008934
"336","C(C(=O)O)(NC(=O)N)O",76.074,7.3034361
"337","CC(=O)C(C(CO)O)O",104.951,5.7274329
"338","C1=CC=C(C(=C1)C(=O)O)O",80.373,5.5119297
"339","C(CP(=O)(O)O)N",80.043,7.6645128
"340","CC1=C(C(=CC=C1)O)O",91.06,5.8207632
"341","C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O",157.439,4.8550803
"342","CC1=CC(=CC=C1)O",87.099,5.9946351
"343","C1(C(C(C2C(C1O)OP(=O)(O2)O)O)O)O",132.838,7.8704925
"344","C1C(C(C(C(=O)C1=O)O)O)O",97.88,4.1443551
"345","CC(=C(CC(=O)O)C(=O)O)C(=O)O",105.57,4.6477401
"346","C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O",188.759,5.4776451
"347","C1=CC(=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CO",208.124,6.0770814
"348","C1=CC(=CC=C1O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O",207.596,5.6713803
"349","C(C1C(C(=O)C(C(O1)O)O)O)O",116.737,5.7881112
"350","CC(C(C(=O)O)NC(=O)CCCCCCS)OP(=O)(O)O",234.579,5.2654071
"354","C(CC(=O)O)C=CC(=O)C(=O)O",101.524,4.3625793
"355","C1=CC(=CC=C1C(=O)C(=O)O)O",87.838,4.2455763
"356","CCCCCCCC",162.299,10.4777547
"358","CC(CC(=O)CC(=O)O)N",116.767,5.4232251
"359","C1=C(C=C(C=C1O)O)O",75.831,6.4365255
"360","CCC(=CCCCC(C)CCOP(=O)(O)OC1C(C(C(C(O1)CO)O)O)O)C",359.794,6.9001839
"361","C1C(CC(=O)C=C1O)O",91.08,5.3366973
"362","C1=CC=C2C(C(C=CC2=C1)O)O",118.757,4.9963002
"363","C(C=O)N",49.448,6.0319128
"364","C(C(C(=O)O)N)N",84.746,6.9752835
"366","CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C",132.659,4.587606
"368","C(CCNCCCCN)CN",197.745,7.6449216
"370","C1=C(C=C(C(=C1O)O)O)C(=O)O",86.943,5.0651415
"371","C(#CC(=O)O)C(=O)O",40.892,5.447442
"372","C1=C(C=C(OC1=O)C(=O)O)C(=O)O",74.876,4.1312943
"374","C(C(=CC(=O)C(=O)O)C(=O)O)C(=O)O",93.829,4.0844931
"376","CC(=O)CC(CC(=O)O)O",109.108,5.442
"378","C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O",91.057,4.9666413
"379","CCCCCCCC(=O)O",154.673,7.4998923
"384","CCCC(C(=O)O)NC(C)C(=O)O",158.076,6.4797894
"385","C(CCC(=O)O)CCC(=O)O",128.605,5.956269
"389","C(CC(C(=O)O)N)CN",121.854,6.8547432
"391","CCC(=CCCCC(C)CCOP(=O)(O)OP(=O)(O)O)C",263.713,6.5037342
"392","C(CC(CC(=O)O)N)CN",140.958,7.0974564
"393","C(C(C(C(=O)C(C(=O)O)O)O)O)OP(=O)(O)O",138.608,5.5113855
"397","C1=CC=C2C(=C1)C(=CN2)CC(=O)N",123.394,5.2566999
"398","CC(C)[N+](=O)[O-]",71.66,6.1646976
"399","C(=CC(=O)O)C(=CC(=O)O)C(=O)O",90.076,4.5378117
"400","C1=CC=C(C(=C1)C=O)NC=O",92.317,4.3770006
"401","C1C(C(=O)NO1)N",68.823,6.255579
"402","S",11.302,7.6539009
"403","C1=CC(=CC=C1N)O",80.512,5.1113985
"404","C(CCNO)CC(C(=O)O)N",144.108,7.1175918
"405","CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C",453.705,6.6484914
"408","CN1C(CCC1=O)C2=CN=CC=C2",138.276,5.6768223
"409","C[N+]1(CCCC1C2=CN=CC=C2)[O-]",152.801,4.6477401
"410","CN1CCCC1C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)O)O)O)O",262.692,3.175407
"411","CN1C(CCC1=O)C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)O)O)O)O",251.27,3.4989339
"412","C1CC(NC1)C2=CN=CC=C2",130.484,5.6139672
"413","C1CC(=O)NC1C2=CN=CC=C2",119.582,5.7203583
"414","CN1C(CC(C1=O)O)C2=CN=CC=C2",141.761,5.7369564
"416","CN1C(CC(C1=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C3=CN=CC=C3",246.844,5.7783156
"417","C(=CC(=O)O)C(=CC(=O)O)Cl",73.84,4.5525051
"418","C1=CC(C(C=C1)O)O",87.409,5.0357547
"419","C(C(=O)C=CC(=O)O)C(=O)O",81.875,3.9819114
"420","CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C",450.344,6.8852184
"421","C(CCC(=O)O)CC(CCS)S",156.274,6.4517631
"422","C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O",153.488,7.0816746
"423","CC(=O)CC(C(=O)O)N",98.21,5.4841755
"424","C(C(C(=O)O)N)C(=O)O",83.63,6.3031965
"425","C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O",159.7,3.7955229
"426","C(CC(C(=O)O)NC(CCC(=O)O)C(=O)O)CN=C(N)N",227.292,5.1848655
"427","CC(C(=O)O)NC(CCCN=C(N)N)C(=O)O",196.455,6.0694626
"428","C(CN)CN",92.023,8.5398585
"429","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3N2)CC(C(C(CO)O)O)O",265.93,4.1214987
"430","CN1CCCC1C2=C[N+](=CC=C2)C",176.154,2.9650737
"431","C[N+]1=CCCC1C2=CN=CC=C2",142.712,3.8899416
"432","CN1CCCC1(C2=CN=CC=C2)O",152.396,5.4931548
"433","C1CC(=O)N(C1C2=CN=CC=C2)CO",142.19,5.8436196
"434","CNCCCC(=O)C1=CN=CC=C1",152.547,4.3337367
"435","C1=CC(=CN=C1)C(=O)CCC(=O)N",122.596,4.4346858
"436","CNC(=O)CCC(=O)C1=CN=CC=C1",140.665,4.6888272
"437","C1=CC(=CN=C1)C(=O)CCC(=O)O",114.687,4.4474745
"438","C1=CC(=CN=C1)C(CCC(=O)O)O",129.831,5.9276985
"439","C1=CC(=CN=C1)C=CCC(=O)O",110.72,4.9761648
"440","CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C",435.421,5.0689509
"441","CC(CC(=O)O)O",83.057,7.5434283
